person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_int_rate_decimal,interest_earned,actual_profit
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,0.1523,4569.0,-30000.0
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,0.1065,3195.0,-30000.0
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.079,2370.0,2370.0
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0.15960000000000002,1596.0000000000002,1596.0000000000002
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0.1148,2296.0,2296.0
23,277000,OWN,3.0,PERSONAL,A,35000,10.99,0,0.13,N,4,0.1099,3846.5,3846.5
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,0.0729,2187.0,2187.0
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3,0.1099,192.325,192.325
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,0.0599,1797.0,1797.0
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.1158,1389.6,1389.6
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,0.1099,1099.0,-10000.0
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0.157,3925.0,-25000.0
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,0.15990000000000001,4653.09,-29100.0
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0.1484,222.6,222.6
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.1099,3077.2,3077.2
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0.1442,2884.0,2884.0
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.0699,671.0400000000001,671.0400000000001
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.1349,3372.5,3372.5
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,0.1099,329.7,-3000.0
22,56950,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,N,2,0.1099,3077.2,-28000.0
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.1361,408.3,-3000.0
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,0.079,2212.0,-28000.0
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,0.07490000000000001,2097.2000000000003,-28000.0
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,0.0751,458.11,-6100.0
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,0.09910000000000001,2774.8,-28000.0
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.1348,566.16,-4200.0
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,0.07139999999999999,339.15,-4750.0
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,0.15990000000000001,4477.200000000001,-28000.0
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.1298,2336.4,2336.4
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,0.13570000000000002,651.3600000000001,651.3600000000001
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.12689999999999999,3553.1999999999994,3553.1999999999994
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0.08900000000000001,2492.0000000000005,2492.0000000000005
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,0.1099,296.73,-2700.0
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,0.1099,3077.2,-28000.0
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0.11109999999999999,3110.7999999999997,3110.7999999999997
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,0.1099,3033.24,-27600.0
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0.1568,509.59999999999997,-3250.0
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,0.1306,3591.5,-27500.0
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,0.1099,2747.5,2747.5
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,0.1562,4225.21,-27050.0
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,0.1349,3642.2999999999997,-27000.0
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,0.1099,2967.2999999999997,-27000.0
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,0.11710000000000001,3044.6000000000004,-26000.0
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0.12689999999999999,3248.6399999999994,3248.6399999999994
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0.13570000000000002,217.12000000000003,217.12000000000003
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,0.1099,2799.7025,-25475.0
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.1427,2854.0,2854.0
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.0888,1776.0,1776.0
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0.12179999999999999,2630.8799999999997,2630.8799999999997
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0.1442,1715.98,-11900.0
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0.1417,3542.5,3542.5
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0.1399,4896.5,4896.5
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0.1099,2780.47,-25300.0
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0.1361,238.175,238.175
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,0.1273,3182.5,-25000.0
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,N,3,0.1099,2747.5,-25000.0
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,0.12869999999999998,386.09999999999997,-3000.0
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0.09910000000000001,361.71500000000003,-3650.0
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0.1149,2298.0,2298.0
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0.1991,5973.0,5973.0
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0.1065,3727.5,-35000.0
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,0.1099,659.4,659.4
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,0.1183,532.35,-4500.0
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,0.1349,323.76,-2400.0
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,0.1459,3647.5,-25000.0
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,0.0964,2410.0,-25000.0
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,0.1459,525.24,-3600.0
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,0.1099,522.025,-4750.0
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,0.1635,4087.5,-25000.0
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,0.1099,2747.5,-25000.0
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0.1867,4667.5,4667.5
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0.0932,279.6,279.6
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0.0863,647.25,647.25
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0.1008,2520.0,2520.0
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,0.1183,2957.5,-25000.0
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.079,1975.0,-25000.0
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.0599,1497.5,-25000.0
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,0.1533,3832.5,-25000.0
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.1183,2957.5,-25000.0
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.1036,2590.0,-25000.0
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.1223,3057.5,-25000.0
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,0.11109999999999999,2777.4999999999995,-25000.0
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,0.079,391.05,-4950.0
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0.1158,2895.0,2895.0
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0.08900000000000001,1869.0000000000002,1869.0000000000002
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0.1607,4017.5000000000005,4017.5000000000005
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0.1422,2844.0,2844.0
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0.1479,5176.5,5176.5
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0.0788,945.5999999999999,945.5999999999999
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,0.1322,3305.0000000000005,-25000.0
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,0.1186,2965.0,-25000.0
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,0.1343,3357.5,-25000.0
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,0.1528,3820.0,-25000.0
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,0.1793,4482.5,-25000.0
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0.0925,129.5,129.5
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,0.1298,584.1,-4500.0
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0.10619999999999999,1699.1999999999998,1699.1999999999998
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.1183,2602.6,2602.6
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,0.1843,4607.5,-25000.0
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,0.1099,2747.5,-25000.0
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,Y,4,0.1099,2747.5,-25000.0
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,0.11359999999999999,2840.0,-25000.0
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,0.1565,3912.5,-25000.0
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,0.1322,3305.0000000000005,-25000.0
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,0.12869999999999998,3217.4999999999995,-25000.0
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0.1304,2607.9999999999995,2607.9999999999995
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,0.17579999999999998,3867.5999999999995,-22000.0
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,0.1704,1320.6,-7750.0
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,0.1099,2747.5,-25000.0
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,0.11109999999999999,2777.4999999999995,-25000.0
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,0.1483,3707.4999999999995,-25000.0
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3,0.1099,439.59999999999997,-4000.0
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,0.12689999999999999,1522.7999999999997,1522.7999999999997
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0.1349,1618.8,1618.8
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0.1465,2344.0,2344.0
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,0.16820000000000002,4205.0,-25000.0
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,0.1273,3182.5,-25000.0
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,0.1025,2562.5,-25000.0
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,0.1099,2747.5,-25000.0
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,0.1273,3182.5,-25000.0
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,0.1496,3740.0000000000005,-25000.0
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,10.99,0,0.14,N,2,0.1099,3077.2,3077.2
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0.1399,3497.5,3497.5
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0.07490000000000001,1797.6000000000001,1797.6000000000001
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0.1479,2218.5,2218.5
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0.1199,1858.45,1858.45
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0.0849,849.0,849.0
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,0.09910000000000001,2477.5,-25000.0
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,0.1306,3265.0,-25000.0
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0.0617,555.3,555.3
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,0.1186,711.6,711.6
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,0.1632,2937.6000000000004,2937.6000000000004
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0.1038,1245.6000000000001,1245.6000000000001
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0.1435,3307.6749999999997,3307.6749999999997
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,0.1099,2198.0,2198.0
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,Y,2,0.1099,2747.5,-25000.0
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,0.1099,329.7,-3000.0
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,0.1521,3802.5000000000005,-25000.0
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,0.079,1975.0,-25000.0
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,0.1099,2747.5,-25000.0
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,0.1409,3522.5,-25000.0
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,0.17489999999999997,4372.499999999999,-25000.0
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0.1148,1377.6,1377.6
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0.17739999999999997,3547.9999999999995,-20000.0
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0.1392,417.59999999999997,417.59999999999997
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,0.1521,3802.5000000000005,-25000.0
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,0.1099,439.59999999999997,-4000.0
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,0.1186,2965.0,-25000.0
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,0.07490000000000001,449.40000000000003,-6000.0
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,0.1649,4122.5,-25000.0
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,0.1533,3832.5,-25000.0
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,0.1158,2895.0,-25000.0
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,0.0579,311.2125,-5375.0
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,0.1311,3277.5,-25000.0
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,0.1036,2590.0,-25000.0
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,0.1036,2590.0,-25000.0
24,192000,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,Y,2,0.1099,2417.7999999999997,2417.7999999999997
21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,N,4,0.0654,1308.0,1308.0
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,0.1253,1253.0,1253.0
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,N,3,0.1099,1648.5,1648.5
22,190000,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,N,3,0.1099,1099.0,1099.0
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,0.1025,2562.5,-25000.0
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,0.1595,3987.5,-25000.0
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,0.12179999999999999,2436.0,2436.0
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,0.1183,2839.2000000000003,2839.2000000000003
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,10.99,1,0.32,Y,2,0.1099,2747.5,-25000.0
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,0.10619999999999999,2654.9999999999995,-25000.0
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,0.1074,2685.0,-25000.0
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,0.1025,1025.0,1025.0
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,0.1527,2290.5,2290.5
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,0.1533,3832.5,-25000.0
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,0.1521,3802.5000000000005,-25000.0
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,0.1472,920.0,-6250.0
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,0.157,3925.0,-25000.0
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,0.1335,3337.5,-25000.0
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,10.99,0,0.1,N,4,0.1099,164.85,164.85
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,0.0662,1654.9999999999998,-25000.0
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,0.1361,3402.5,-25000.0
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,0.11359999999999999,2840.0,2840.0
